190	教育 。	二 ， 嗯 嗯 ， 你 说 。
76891	有 。	外来 。
15920	我 是 不 需要 。	俺 是 美女 ， 好不好 啊 ？
53557	喂 。	我 是 现场 。
15648	阿哥 之间 不 需要 ， 谢谢 。	我 叫 啊 。
84955	没有 啊 。	二 ， 打电话 。
40256	安装 。	差不多 ， 我 就 先 不用 了 。
33311	怎么 ？	锻炼 。
60389	什么 呀 ？	那 我 明天 给 你 回 电话 ， 我 现在 对 你 一点 。
92937	有 。	我 ， 我 暂时 不 需要 洗澡 。
50056	八 ， 就是 开小差 了 ， 老婆 。	你 妈 有没有 没有 钱 吃饭 呀 ？
102103	奇怪 。	咱俩 唠会 。
13474	哈哈哈 哈哈 。	啊 。
32664	喂 你好 。	我 知道 我 昨晚 问 我 ， 明天 我 就 上班 了 呢 。
59993	没有 。	关键 是 我 能 带到 那里 ， 公司 董事 对 了 ， 方法 a 。
56310	可以 。	饿 。
24598	一 。	小屁孩 子 ， 让 你 给 我 打电话 。
9396	我要 不要 。	六位 。
71949	说话 了 吗 ？	嗯 嗯 ， 到 学校 来 找 你 。
14802	哦 知道 了 。	你好 。
79964	刘邦 。	111112223822 。
77896	没有 ， 没有 啊 ？	老婆 也 不理 。
64146	哦 ， 你 利息 呢 ？ 利息 多少 呢 。	明天 。
55023	有 什么 限制 吗 ？ 我 跟 年龄 。	哪里 ？
62038	没有 啦 ？	为 。
62704	不 需要 。	明天 做 给 ， 东航 安全员 说 。
8922	您好 ， 您 拨叫 的 用户 正 忙 ， 请 您 稍候 。	零 ， 你 。
99936	没有 谢谢 。	女儿 没有 睡 呀 。
84939	你好 。	啊 。
53851	一 。	没有 。
93646	准备 什么 ？	有 什么 事儿 。
36074	那个 QQ 。	不要 带 个人 可不可以 ？
93918	我 不 需要 去 想 啊 。	二段 。
48761	我 肯定 没 问题 了 呢 ， 没有 一起 过 。	要 上 初中 了 。
7270	我 现在 讲 诚信 给 你 吃 。	俺 这个 没有 ， 现在 没有 清晰 了 。
95837	不 需要 。	波兰 。
23174	楼 。	医疗 。
32052	嗯 嗯 好 谢谢 啊 。	为 。
97771	哎 ， 你们 那个 保单 需要 多长时间 的 保单 呢 ？	但 我 现在 开车 。
21917	什么 品牌 ？	我要 办事 。
88694	嗯 ， 不 需要 没事儿 ， 我 不 需要 。	嗯 个 屁 啊 。
58779	对 。	让 我们 不要 贷款 ， 啊 ， 我们 家 有钱 用 啊 。
52813	啊 ， 这个 目前 还是 主要 不 需要 。	啊 。
69122	还 没有 。	上班 吗 ？ 哦 喂 。
32655	哦 ， 那 不用 了 ， 部分 人 那 是 要 疯 了 好 吧 。	微信 。
61190	有 啊 。	那 你好 ， 请问 有 什么 事 ？
98143	不 需要 再 联系 ， 你好 ， 现在 不 需要 回家 ， 哈哈 。	那位 ， 外 。
29801	嗯 有 啊 。	好好 好 。
19793	还 可以 吧 。	为 。
58517	又 要 用 。	我 ， 怎么 不 明天 再说 ？ 不 需要 谢谢 你 ， 哦 。
21204	这 几天 把 这 节目 。	嗯 好 姑娘 很 好 。
93742	一 。	你好 。
96207	哎哟 没有 没有 。	这是 中山市 的 。
55058	谁 呀 。	杨 。
94595	哎 。	大连 。
96748	还 没有 谢谢 ！	你好 。
10765	怎么 简单 法 ？	你 现在 不用 。
40054	发给 我 吧 ， 有个 历史 语境 ， 当然 网站 是 属于 那种 ， 就是 被 人放 网上 看到 的 那种 。	打开 。
86477	但是 当时 我 那个 那个 abb 不行 啊 ， 我 说 我 的 那个 真 。	我该 怎么 做 ？
54843	嗯 嗯 好好 。	俺 单位 文化园 ， 北 。
55907	你 需要 。	如果 你 再说 一遍 ， 可以 吗 ？ 为 ， 为 。
12828	嗯 好 。	为 。
84927	嗯 什么 嗯 。	嗯 ， 我 知道 你 什么 银行 啊 ？
90024	你 简单 发短信 给 我 吧 。	单位 。
63305	不用 啦 ， 啊 。	白杨 贷款 能贷 多少 ？
27770	不 需要 现在 。	嗯 哦 。
1431	那 你 大 中午 不要 打电话 给 同学 吧 ？	教育 。
51615	嗯 。	我 ， 妈妈 。
5865	你 给 我 办理 的 这事 。	哦 。
5273	猫 粮 。	嗯 好 。
41586	不 需要 不 需要 。	我 没 上班 ， 上班 。
2573	那 不用 跪 了 ， 哦 ， 啊 。	俺 没有 不 需要 。
69948	好 的 好 的 。	用 不用 留给 你 。
44215	不 需要 啊 ， 我 想 问 一下 怎么 老用 再说 。 电话 。	哎呀 。
1353	他 不 需要 。	嗯 那 嗯 。
52187	同学 。	那 你好 ， 哦 哪位 ， 回 ， 微微 微微 微 。
102014	我 说 不是 还 了 吗 ？	宝贝 ， 你 还 打 干什么 去 了 ？
77682	没有 的 没有 的 。	他妈 逼 傻 逼 啊 。
26779	我用 了 时间 。	QQ 空间 干嘛 ？ 给 我 打电话 吗 ？
54728	老婆 又 留恋 在 ， 打个 比喻 啦 ， 要说 给 你 打电话 ， 好不好 啊 ？	啊 。
42225	你 说 了 。	你 打 什么 电话 ？
30549	我 有 老公 。	不 需要 。
76710	那 我 没有 信用卡 的 。	怪 我 不 需要 啊 ， 不 需要 我 就 跟 不 需要 了解 ， 对 吧 ？ 你 要 搞笑 的 人 需要 他们 了解 了解 。
80142	嗯 。	我 上班 呢 。
7661	咱俩 行不行 ？	哪位 呀 ？
54765	哟 。	没有 。
25502	嗯 这个 不用 了 。	你好 。
11661	我 想 笑 我 了 。	为 。
57097	哦 ， 那 就 不 需要 我要 的话 电话 联系 吧 。	文化 。
16592	期限 多久 ？	在 哪里 啊 ？
73941	什么 活动 啊 ？	你好 。
93523	可以 ， 你加 我 微信 吧 ， 我 跟 你 私聊 。	你 是 什么 地方 的 ？ 那个 男 银行 还是 哪儿 的 啊 ？
18032	我 又 不用 。	为 ， 你好 哪位 ？
94272	把 一包 卖 了 。	恩 。
32580	嗯 出去 了 。	嗯 ， 刚 接电话 。
73154	嗯 ， 不 需要 ， 我 现在 不 需要 借款 啊 。	嗯 哈 。
85156	没有 。	怎么 。
69111	嗯 ， 是 怎么弄 啊 ？	三 。
36178	好 的 ， 好 的 ， 好 的 ， 谢谢 ！	我 没有 没有 。
